,SEASON_ID,OFF_PLAYER_ID,OFF_PLAYER_NAME,DEF_PLAYER_ID,DEF_PLAYER_NAME,GP,MATCHUP_MIN,PARTIAL_POSS,PLAYER_PTS,TEAM_PTS,MATCHUP_AST,MATCHUP_TOV,MATCHUP_BLK,MATCHUP_FGM,MATCHUP_FGA,MATCHUP_FG_PCT,MATCHUP_FG3M,MATCHUP_FG3A,MATCHUP_FG3_PCT,HELP_BLK,HELP_FGM,HELP_FGA,HELP_FG_PERC,MATCHUP_FTM,MATCHUP_FTA,SFL
0,22019,201942,DeMar DeRozan,2544,LeBron James,3,17:56,65.73,14,63,4,0,1,7,14,0.5,0,0,0.0,0,0,0,0.0,0,0,0
1,22019,1627827,Dorian Finney-Smith,2544,LeBron James,4,14:41,53.43,9,76,0,1,0,3,6,0.5,3,6,0.5,0,0,0,0.0,0,0,0
2,22019,202695,Kawhi Leonard,2544,LeBron James,4,12:46,50.34,14,55,1,3,0,6,11,0.545,1,3,0.333,0,0,0,0.0,1,2,0
3,22019,1629631,De'Andre Hunter,2544,LeBron James,2,11:42,46.49,8,47,0,1,1,3,8,0.375,2,4,0.5,0,0,0,0.0,0,0,0
4,22019,203109,Jae Crowder,2544,LeBron James,2,12:07,45.89,8,57,0,1,0,3,6,0.5,2,5,0.4,0,0,0,0.0,0,0,0
5,22019,1628366,Lonzo Ball,2544,LeBron James,3,10:11,45.36,10,48,2,2,0,4,7,0.571,2,5,0.4,0,0,0,0.0,0,0,0
6,22019,1628390,Terrance Ferguson,2544,LeBron James,2,11:28,44.59,5,45,0,1,0,2,4,0.5,1,3,0.333,0,0,0,0.0,0,0,0
7,22019,1628384,OG Anunoby,2544,LeBron James,2,10:58,44.02,7,42,0,1,1,3,5,0.6,1,2,0.5,0,0,0,0.0,0,0,0
8,22019,1626162,Kelly Oubre Jr.,2544,LeBron James,3,10:55,44.02,8,52,0,0,0,3,4,0.75,2,3,0.667,0,0,0,0.0,0,0,1
9,22019,1627742,Brandon Ingram,2544,LeBron James,4,10:12,41.69,5,49,0,1,0,2,9,0.222,1,5,0.2,0,0,0,0.0,0,0,0
10,22019,203084,Harrison Barnes,2544,LeBron James,3,10:17,38.03,2,48,1,0,0,1,4,0.25,0,3,0.0,0,0,0,0.0,0,0,0
11,22019,202083,Wesley Matthews,2544,LeBron James,2,8:22,36.56,4,49,0,1,0,1,2,0.5,1,2,0.5,0,0,0,0.0,1,2,1
12,22019,1628404,Josh Hart,2544,LeBron James,4,9:18,35.34,0,36,1,0,0,0,6,0.0,0,6,0.0,0,0,0,0.0,0,0,0
13,22019,203932,Aaron Gordon,2544,LeBron James,2,8:29,34.14,2,45,3,1,0,1,2,0.5,0,0,0.0,0,0,0,0.0,0,0,0
14,22019,1628969,Mikal Bridges,2544,LeBron James,3,8:05,33.86,4,38,0,2,0,2,3,0.667,0,1,0.0,0,0,0,0.0,0,0,0
15,22019,1629680,Matisse Thybulle,2544,LeBron James,2,8:51,33.47,0,55,2,0,0,0,1,0.0,0,1,0.0,0,0,0,0.0,0,0,0
16,22019,204060,Joe Ingles,2544,LeBron James,3,9:38,33.34,3,53,2,1,0,1,1,1.0,1,1,1.0,0,0,0,0.0,0,0,0
17,22019,203145,Kent Bazemore,2544,LeBron James,3,8:25,32.96,2,51,1,0,0,1,2,0.5,0,1,0.0,0,0,0,0.0,0,0,0
18,22019,202694,Marcus Morris Sr.,2544,LeBron James,3,8:40,31.74,9,36,0,3,0,3,5,0.6,2,4,0.5,0,0,0,0.0,1,2,0
19,22019,203507,Giannis Antetokounmpo,2544,LeBron James,2,7:34,31.21,10,25,3,2,0,2,10,0.2,1,6,0.167,0,0,0,0.0,5,6,4
20,22019,203922,Glenn Robinson III,2544,LeBron James,2,7:39,30.59,4,35,2,0,1,2,3,0.667,0,0,0.0,0,0,0,0.0,0,0,0
21,22019,203925,Joe Harris,2544,LeBron James,2,7:47,28.87,5,29,1,1,0,2,3,0.667,1,1,1.0,0,0,0,0.0,0,0,0
22,22019,202710,Jimmy Butler,2544,LeBron James,2,7:27,27.88,2,21,2,1,0,1,3,0.333,0,1,0.0,0,0,0,0.0,0,0,0
23,22019,203937,Kyle Anderson,2544,LeBron James,4,6:55,27.7,3,17,2,0,0,1,2,0.5,1,1,1.0,0,0,0,0.0,0,0,0
24,22019,1629635,Sekou Doumbouya,2544,LeBron James,1,7:03,26.69,0,11,0,0,0,0,4,0.0,0,2,0.0,0,0,0,0.0,0,0,0
25,22019,1628470,Torrey Craig,2544,LeBron James,2,7:43,26.36,0,35,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
26,22019,201950,Jrue Holiday,2544,LeBron James,4,5:33,24.12,5,34,3,2,0,2,2,1.0,1,1,1.0,0,0,0,0.0,0,0,0
27,22019,200782,P.J. Tucker,2544,LeBron James,2,5:20,23.98,0,28,0,0,0,0,1,0.0,0,1,0.0,0,0,0,0.0,0,0,0
28,22019,2772,Trevor Ariza,2544,LeBron James,1,6:25,23.98,0,42,1,0,1,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0
29,22019,201976,Patrick Beverley,2544,LeBron James,4,6:17,23.12,0,30,1,1,0,0,2,0.0,0,0,0.0,0,0,0,0.0,0,0,0
30,22019,203501,Tim Hardaway Jr.,2544,LeBron James,4,6:23,22.45,5,30,0,1,0,2,5,0.4,1,4,0.25,0,0,0,0.0,0,0,0
31,22019,202330,Gordon Hayward,2544,LeBron James,2,5:59,22.41,5,45,5,0,0,2,4,0.5,1,2,0.5,0,0,0,0.0,0,0,0
32,22019,1628970,Miles Bridges,2544,LeBron James,1,5:26,21.76,3,26,0,0,0,1,4,0.25,1,2,0.5,0,0,0,0.0,0,0,0
33,22019,1626220,Royce O'Neale,2544,LeBron James,3,4:50,21.37,0,21,0,2,1,0,2,0.0,0,1,0.0,0,0,0,0.0,0,0,0
